Occupation Name,Verb-Noun Pairs,Matched Verb-Noun Pairs from AI
Oral and Maxillofacial Surgeons,evaluate position,"calibrate position, evaluate positioning, identify position, determine position"
"Career/Technical Education Teachers, Secondary School","attend meeting, improve competence","improve achievement, improve optimization, improve tolerance, improve presentation, improve stability, improve reconstruction, improve experience, improve concentration, improve enhancement, improve productivity, improve diversity, improve competency, improve connection, improve adaptability, improve cognition, improve interaction, improve functioning, enhance competence, improve reliability, improve intelligence, improve capability, improve flexibility, improve functionality, improve knowledge, improve responsibility, improve effectiveness, improve prediction, improve relevance, improve communication, improve efficiency, improve management, improve visualization, improve ability, improve evaluation, improve accessibility, improve understanding, improve engagement, improve placement, improve training, improve visibility, improve measurement, improve recognition, improve compliance, improve definition, improve usability, improve connectivity, improve segmentation, improve classification, improve utilization, improve interpretation, improve performance, improve impairment, improve conversation, improve intelligibility, improve recommendation, improve provision, improve throughput, improve determination, improve establishment, improve precision"
Gambling Cage Workers,use register,"use compensation, use bandwidth, use adaptability, use consumption, use spreadsheet, use catalyst, use attribute, use messenger, use threshold, use satisfaction, use interpolation, use utility, use ophthalmoscope, use change, use management, use knowledge, use handler, use diffusion, use mapping, use vocabulary, use interval, use scheduler, indicate use, use computation, use bonding, use difficulty, use question, use instantiation, use reconnaissance, use protection, use estimation, use target, use supplementation, use concealment, use repetition, use circumstance, use context, use interest, use controller, use quantification, use display, use quantization, intervene use, use multitude, use identification, identify use, use repeater, use replication, use cluster, use fingerprinting, use planner, use discriminator, use credential, use description, use domain, support use, use electrocardiogram, use wearable, use proxy, use variability, use component, use portal, use handle, use heartbeat, use workflow, use switching, use quotient, use waveform, use computer, use instance, use electromyography, use repository, use evaluator, use occurrence, use browser, use oscillator, use preview, use consensus, use tracker, use encryption, use difference, use authorization, use choice, use constraint, use imitation, use principle, use statistic, use parameter, use packaging, use criterion, use landmark, use processing, use connectivity, use trajectory, facilitate use, use plurality, use category, use optimization, modify use, use indicator, use reasoning, classify use, use generator, use container, use supervision, use curricula, use personification, use conditioning, use recording, use delivery, quantify use, use conversion, use pointer, use programming, use perspective, use alignment, use chromatography, use ledger, use processor, use normalization, use universal, use premise, use appliance, use definition, use account, use property, use relevance, use grating, use website, use pipeline, use wallet, use newsletter, use deferral, use illustration, use bottleneck, use reclassification, use assessment, use authentication, use thermography, use configuration, use framework, use insertion, use disclosure, use inversion, use input, use collection, use example, use connection, use correspondence, use tetracycline, use measurement, use resonance, use understanding, use timing, use update, use counter, use stack, use overlay, use representation, use primer, use apparatus, use extract, use compression, use ordering, use navigation, use propagation, use count, use distillation, use profiling, use subset, use datum, enable use, use automation, use measure, use application, use running, use correction, use internet, use communication, use representative, use dictionary, use cardiogram, use signature, use reconstruction, use compiler, use candidate, use guarantee, restrict use, use biofeedback, use psilocybin, use extractor, use check, use transistor, use entry, use photograph, use coordinate, use information, use planning, use catalog, use discovery, use interrogation, use modality, use depolarization, use manipulator, use validation, use platform, use departure, use catheter, use hologram, use override, use thesaurus, use interface, use classification, use assembly, use identifier, use surveillance, use dispersion, use library, use occupancy, use capability, use lithography, use preparation, use multiple, use highlight, use query, use positioning, use hierarchy, use equipment, use intermediary, use regression, use entity, manage use, use microphone, use characteristic, use indication, use mismatch, use software, use infrastructure, use ligation, use lexicon, use resource, use fingerprint, use blueprint, use assistant, use coding, use currency, use session, use potential, use comparison, use functionality, use doppler, use pricing, use variance, use address, use manufacturing, use estimator, use protocol, use inference, use augmentation, use observation, use transmission, use commodity, use grouping, use association, use decoding, use magnification, use prefix, use contract, use spelling, use prescription, use marking, use provider, use oracle, use neighborhood, use segmentation, use regularization, use apprenticeship, use scanning, use probability, use differentiator, use discrimination, use permit, use telephone, use resolution, use implementation, use citation, use sensitizer, optimize use, use equilibrium, use prediction, use replacement, use instruction, use selection, use drawing, use cryptography, use recommendation, use hardware, use qualification, use profile, use retrieval, use comprehension, use convolution, use module, use database, use scaling, use foresight, use request, use procedure, use consistency, use provenance, use terminal, use affinity, use support, use preference, use adjustment, use propensity, use taxonomy, use gateway, use monitoring, use dispersal, use conversation, use interaction, use playback, use sampling, use ethernet, use accelerator, use perforation, use tracking, use search, use summarization, use entropy, use packet, use metadata, use conductance, use template, use combination, use modulus, use inspection, use reference, use accumulation, use frequency, use specification, use ultrasound, use transformer, use partitioning, use summary, use computing, use electroencephalogram, use scheduling, use feedback, use encoding, use primitive, use classifier, use priming, use surrogate, use transfer, use server, use guidance, use tending, use consumer, use interoperability, use spline, use exception, use tachograph, use pharmaceutical, use networks, determine use, use certificate, monitor use, use modulation, use tocopherol, use operator, use extraction, use queue, use uncertainty, use background, use visualization, use token, use automobile, use package, use sample, use repertoire, use approximation, use reinforcement, use coordination, use sentiment, use recognition, use amplification, use transaction, use factorization, use steering, use descriptor, use transformation, use reset, use balancing, use buffer, use therapeutic, use document, use locator, use construct, use envelope, use confidence, use commerce, use extension, use packer, use localization, use exercise, use mobile, use allocation, use estimate, use verification, use substitution, use utterance, use function, use determination, use distribution, use aggregation, use analyzer, use evaluation, use access, use proposal, use instrument"
Water/Wastewater Engineers,provide support,"provide configuration, provide intervention, provide maintenance, provide organization, provide recognition, provide functionality, provide arrangement, provide interaction, provide collaboration, provide suggestion, provide distribution, provide accessibility, provide relevance, provide instruction, provide verification, provide advancement, provide identification, provide advertisement, provide recommendation, provide transformation, provide stabilization, provide assurance, provide consultation, provide opportunity, provide capability, provide compensation, provide mobility, provide extension, provide infrastructure, provide availability, provide communication, provide allocation, provide assistance, provide incentive, provide benefit, provide connection, provide coordination, provide management, provide synchronization, provide resource, provide continuity, provide provenance, provide optimization, provide integrity, provide representation, provide alternative, provide development, provide conversation, provide effectiveness, provide aggregation, facilitate support, provide foundation, provide credential, provide protection, provide emergence, provide understandability, provide support, provide connectivity, provide enhancement, provide portability, provide agility, provide interoperability, provide guidance, provide healthcare, provide telecommunication, provide improvement, provide deployment, provide monitoring, provide response"
Loss Prevention Managers,maintain database,maintain database
"Career/Technical Education Teachers, Middle School",prepare material,prepare material
Marine Engineers and Naval Architects,"evaluate performance, determine change","evaluate reliability, evaluate change, mitigate change, analyse performance, determine performance, evaluate efficiency, identify change, discover change, evaluate effectiveness, determine change, coordinate change, assess performance, evaluate consistency, evaluate capability, evaluate usability, predict change, analyze performance, evaluate performance"
Treasurers and Controllers,perform work,perform work
Marriage and Family Therapists,"ask question, identify feeling",ask question
Ophthalmic Medical Technologists,"perform lamp, diagnose disorder",diagnose disorder
