Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Farmers ranchers and other agricultural managers,463298,10674,402198,9534,61100,3841,13.2,0.7,50519,718,51890,722,37170,2771,71.6,5.5,2022,0.12331395413843042,other farmers ranchers and agricultural managers,,,Nov-10,,"Farmers, Ranchers, and Other Agricultural Managers",other farmers ranchers and agricultural managers,Nov-10,,,,
Farmers ranchers and other agricultural managers,463298,10674,402198,9534,61100,3841,13.2,0.7,50519,718,51890,722,37170,2771,71.6,5.5,2022,0.12331395413843042,other farmers ranchers and agricultural managers,,,,Nov-13,"Farmers, Ranchers, and Other Agricultural Managers",other farmers ranchers and agricultural managers,Nov-13,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Nov-13,"Farmers, Ranchers, and Other Agricultural Managers"
Construction managers,944485,18964,864745,17853,79740,5362,8.4,0.5,83790,1227,84670,1210,75350,3745,89,4.4,2022,0.16093379219310053,construction managers,,,Nov-20,,Construction Managers,construction managers,Nov-20,,,,
Construction managers,944485,18964,864745,17853,79740,5362,8.4,0.5,83790,1227,84670,1210,75350,3745,89,4.4,2022,0.16093379219310053,construction managers,,,,Nov-21,Construction Managers,construction managers,Nov-21,11-9021.00,Construction Managers,Nov-21,Construction Managers
Education and childcare administrators,894262,16900,318091,10801,576171,13053,64.4,0.9,79682,1043,91309,1427,73150,1167,80.1,1.7,2022,1.1628465510620885,education and childcare administrators,,,Nov-30,,Education and Childcare Administrators,education and childcare administrators,Nov-30,,,,
Architectural and engineering managers,214519,8317,189262,7900,25257,2420,11.8,1.1,158325,2763,159400,2796,151802,5960,95.2,4.6,2022,0.050974476917746925,architectural and engineering managers,,,Nov-40,,Architectural and Engineering Managers,architectural and engineering managers,Nov-40,,,,
Architectural and engineering managers,214519,8317,189262,7900,25257,2420,11.8,1.1,158325,2763,159400,2796,151802,5960,95.2,4.6,2022,0.050974476917746925,architectural and engineering managers,,,,Nov-41,Architectural and Engineering Managers,architectural and engineering managers,Nov-41,11-9041.00,Architectural and Engineering Managers,Nov-41,Architectural and Engineering Managers
Architectural and engineering managers,214519,8317,189262,7900,25257,2420,11.8,1.1,158325,2763,159400,2796,151802,5960,95.2,4.6,2022,0.050974476917746925,architectural and engineering managers,,,,Nov-41,Architectural and Engineering Managers,architectural and engineering managers,Nov-41,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Nov-41,Architectural and Engineering Managers
Food service managers,783422,17563,422635,12021,360787,12248,46.1,1.1,48167,1024,53816,1041,41433,669,77,1.7,2022,0.7281517442183616,food service managers,,,Nov-50,,Food Service Managers,food service managers,Nov-50,,,,
Food service managers,783422,17563,422635,12021,360787,12248,46.1,1.1,48167,1024,53816,1041,41433,669,77,1.7,2022,0.7281517442183616,food service managers,,,,Nov-51,Food Service Managers,food service managers,Nov-51,11-9051.00,Food Service Managers,Nov-51,Food Service Managers
Funeral home managers,7195,1395,3643,891,3552,1120,49.4,10.2,74296,21130,95277,29507,60988,18976,(X),(X),2022,0.007168759,funeral home managers,,,,Nov-71,Funeral Home Managers,funeral home managers,Nov-71,11-9171.00,Funeral Home Managers,Nov-71,Funeral Home Managers
Entertainment and recreation managers,47730,3798,30321,2932,17409,2217,36.5,3.6,57888,3379,61369,4577,53676,2891,87.5,9,2022,0.035135395,entertainment and recreation managers,,,Nov-70,,Entertainment and Recreation Managers,entertainment and recreation managers,Nov-70,,,,
Lodging managers,99384,5914,52915,4490,46469,3946,46.8,3,58185,3214,65160,5346,52213,2136,80.1,7.3,2022,0.093785207,lodging managers,,,Nov-80,,Lodging Managers,lodging managers,Nov-80,,,,
Lodging managers,99384,5914,52915,4490,46469,3946,46.8,3,58185,3214,65160,5346,52213,2136,80.1,7.3,2022,0.093785207,lodging managers,,,,Nov-81,Lodging Managers,lodging managers,Nov-81,11-9081.00,Lodging Managers,Nov-81,Lodging Managers
Medical and health services managers,731398,16288,204296,7407,527102,13055,72.1,0.8,81740,1028,91963,2724,78812,1687,85.7,3,2022,1.0638139419684935,medical and health services managers,,,Nov-10,,Medical and Health Services Managers,medical and health services managers,Nov-10,,,,
Medical and health services managers,731398,16288,204296,7407,527102,13055,72.1,0.8,81740,1028,91963,2724,78812,1687,85.7,3,2022,1.0638139419684935,medical and health services managers,,,,Nov-11,Medical and Health Services Managers,medical and health services managers,Nov-11,11-9111.00,Medical and Health Services Managers,Nov-11,Medical and Health Services Managers
Natural sciences managers,42001,4053,15085,2118,26916,3550,64.1,4.5,82685,6210,89828,4198,77602,4839,86.4,6.7,2022,0.054322723,natural sciences managers,,,Nov-20,,Natural Sciences Managers,natural sciences managers,Nov-20,,,,
Natural sciences managers,42001,4053,15085,2118,26916,3550,64.1,4.5,82685,6210,89828,4198,77602,4839,86.4,6.7,2022,0.054322723,natural sciences managers,,,,Nov-21,Natural Sciences Managers,natural sciences managers,Nov-21,11-9121.00,Natural Sciences Managers,Nov-21,Natural Sciences Managers
Natural sciences managers,42001,4053,15085,2118,26916,3550,64.1,4.5,82685,6210,89828,4198,77602,4839,86.4,6.7,2022,0.054322723,natural sciences managers,,,,Nov-21,Natural Sciences Managers,natural sciences managers,Nov-21,11-9121.01,Clinical Research Coordinators,Nov-21,Natural Sciences Managers
Natural sciences managers,42001,4053,15085,2118,26916,3550,64.1,4.5,82685,6210,89828,4198,77602,4839,86.4,6.7,2022,0.054322723,natural sciences managers,,,,Nov-21,Natural Sciences Managers,natural sciences managers,Nov-21,11-9121.02,Water Resource Specialists,Nov-21,Natural Sciences Managers
Postmasters and mail superintendents,23657,2865,12411,1978,11246,1812,47.5,5.3,82241,2700,86108,4280,78405,2320,91.1,5.3,2022,0.022697033195430257,postmasters and mail superintendents,,,Nov-30,,Postmasters and Mail Superintendents,postmasters and mail superintendents,Nov-30,,,,
Postmasters and mail superintendents,23657,2865,12411,1978,11246,1812,47.5,5.3,82241,2700,86108,4280,78405,2320,91.1,5.3,2022,0.022697033195430257,postmasters and mail superintendents,,,,Nov-31,Postmasters and Mail Superintendents,postmasters and mail superintendents,Nov-31,11-9131.00,Postmasters and Mail Superintendents,Nov-31,Postmasters and Mail Superintendents
Property real estate and community association managers,471991,12703,220884,7934,251107,9749,53.2,1.3,63550,1067,73388,3033,57521,2131,78.4,4.4,2022,0.5067920962657749,property real estate and community association managers,,,Nov-40,,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Nov-40,,,,
Property real estate and community association managers,471991,12703,220884,7934,251107,9749,53.2,1.3,63550,1067,73388,3033,57521,2131,78.4,4.4,2022,0.5067920962657749,property real estate and community association managers,,,,Nov-41,"Property, Real Estate, and Community Association Managers",property real estate and community association managers,Nov-41,11-9141.00,"Property, Real Estate, and Community Association Managers",Nov-41,"Property, Real Estate, and Community Association Managers"
Social and community service managers,456846,11747,134049,6746,322797,8858,70.7,1.1,64254,1246,72390,3158,62101,1215,85.8,4.1,2022,0.6514791236337631,social and community service managers,,,Nov-50,,Social and Community Service Managers,social and community service managers,Nov-50,,,,
Social and community service managers,456846,11747,134049,6746,322797,8858,70.7,1.1,64254,1246,72390,3158,62101,1215,85.8,4.1,2022,0.6514791236337631,social and community service managers,,,,Nov-51,Social and Community Service Managers,social and community service managers,Nov-51,11-9151.00,Social and Community Service Managers,Nov-51,Social and Community Service Managers
